timestep,reward
192,0.82025
192192,0.81925
384192,0.77
576192,0.74
768192,0.8865
960192,0.86575
1152192,0.729
1344192,0.85125
1536192,0.824
1728192,0.84075
1920192,0.79875
2112192,0.8
2304192,0.8705
2496192,0.93625
2688192,0.84025
2880192,0.798
3072192,0.80875
3264192,0.731
3456192,0.7675
3648192,0.7685
3840192,0.86625
4032192,0.875
4224192,0.8325
4416192,0.9645
4608192,0.79625
4800192,0.8095
4992192,0.80725
5184192,0.794
5376192,0.8745
5568192,0.864
5760192,0.841
5952192,0.80525
6144192,0.876
6336192,0.7315
6528192,0.84
6720192,0.8315
6912192,0.8185
7104192,0.8715
7296192,0.69575
7488192,0.6725
7680192,0.82225
7872192,0.8305
8064192,0.75175
8256192,0.81875
8448192,0.8405
8640192,0.90075
8832192,0.86625
9024192,0.76875
9216192,0.814
9408192,0.73375
9600192,0.74975
9792192,0.8115
9984192,0.72825
10176192,0.81525
10368192,0.85075
10560192,0.75575
10752192,0.83075
10944192,0.8685
11136192,0.78775
11328192,0.84775
11520192,0.792
11712192,0.835
11904192,0.823
12096192,0.86
12288192,0.798
12480192,0.82675
12672192,0.7775
12864192,0.801
13056192,0.9195
13248192,0.82425
13440192,0.70225
13632192,0.829
13824192,0.71025
14016192,0.826
14208192,0.9
14400192,0.80625
14592192,0.78475
14784192,0.7815
14976192,0.83975
15168192,0.82975
15360192,0.8045
15552192,0.80975
15744192,0.7525
15936192,0.834
16128192,0.76075
16320192,0.78875
16512192,0.754
16704192,0.77625
16896192,0.8265
17088192,0.85075
17280192,0.82575
17472192,0.80025
17664192,0.8915
17856192,0.73575
18048192,0.871
18240192,0.86425
18432192,0.7765
18624192,0.84025
18816192,0.8145
19008192,0.804
19200192,0.75425
19392192,0.77625
19584192,0.78475
19776192,0.7965
19968192,0.7415
20160192,0.79275
20352192,0.813
20544192,0.76325
20736192,0.7635
20928192,0.80625
21120192,0.7605
21312192,0.7705
21504192,0.86625
21696192,0.8285
21888192,0.81225
22080192,0.7785
22272192,0.74325
22464192,0.93975
22656192,0.81
22848192,0.7645
23040192,0.76275
23232192,0.81875
23424192,0.77775
23616192,0.8415
23808192,0.78475
24000192,0.78825
24192192,0.80525
24384192,0.86075
24576192,0.8795
24768192,0.76525
24960192,0.86675
25152192,0.79725
25344192,0.728
25536192,0.77725
25728192,0.81725
25920192,0.74375
26112192,0.849
26304192,0.86525
26496192,0.8535
26688192,0.7975
26880192,0.91025
27072192,0.8365
27264192,0.79625
27456192,0.89475
27648192,0.7355
27840192,0.86275
28032192,0.86775
28224192,0.8835
28416192,0.84875
28608192,0.8645
28800192,0.88175
28992192,0.78575
29184192,0.875
29376192,0.72625
29568192,0.76225
29760192,0.89225
29952192,0.8115
30144192,0.827
30336192,0.89025
30528192,0.793
30720192,0.89575
30912192,0.89
31104192,0.80275
31296192,0.9445
31488192,0.7955
31680192,0.79
31872192,0.80625
32064192,0.7885
32256192,0.807
32448192,0.91325
32640192,0.844
32832192,0.74475
33024192,0.7885
33216192,0.80825
33408192,0.7945
33600192,0.76125
33792192,0.79075
33984192,0.80875
34176192,0.853
34368192,0.82075
34560192,0.8205
34752192,0.8765
34944192,0.87
35136192,0.74675
35328192,0.7915
35520192,0.88875
35712192,0.835
35904192,0.86075
36096192,0.8135
36288192,0.855
36480192,0.84525
36672192,0.85275
36864192,0.84025
37056192,0.80225
37248192,0.9105
37440192,0.756
37632192,0.80425
37824192,0.73175
38016192,0.73925
38208192,0.87925
38400192,0.8145
38592192,0.751
38784192,0.774
38976192,0.94975
39168192,0.79775
39360192,0.86475
39552192,0.8395
39744192,0.802
39936192,0.83225
40128192,0.78075
40320192,0.87775
40512192,0.81075
40704192,0.76175
40896192,0.84125
41088192,0.72525
41280192,0.77625
41472192,0.85075
41664192,0.91975
41856192,0.886
42048192,0.8205
42240192,0.84
42432192,0.892
42624192,0.8515
42816192,0.793
43008192,0.77175
43200192,0.84175
43392192,0.856
43584192,0.805
43776192,0.794
43968192,0.8335
44160192,0.84025
44352192,0.83525
44544192,0.82125
44736192,0.7185
44928192,0.9335
45120192,0.748
45312192,0.81725
45504192,0.8095
45696192,0.80125
45888192,0.72525
46080192,0.8625
46272192,0.815
46464192,0.8585
46656192,0.81125
46848192,0.82325
47040192,0.89975
47232192,0.79525
47424192,0.82525
47616192,0.79375
47808192,0.73
48000192,0.77025
48192192,0.822
48384192,0.754
48576192,0.937
48768192,0.795
48960192,0.899
49152192,0.77275
49344192,0.866
49536192,0.803
49728192,0.84975
49920192,0.80325
50112192,0.7745
50304192,0.82875
50496192,0.77975
50688192,0.7615
50880192,0.87525
51072192,0.87075
51264192,0.79375
51456192,0.8365
51648192,0.82975
51840192,0.85125
52032192,0.739
52224192,0.857
52416192,0.815
52608192,0.8765
52800192,0.86475
52992192,0.80075
53184192,0.85425
53376192,0.77275
53568192,0.99025
53760192,0.791
53952192,0.79025
54144192,0.8225
54336192,0.89775
54528192,0.86825
54720192,0.7835
54912192,0.791
55104192,0.77625
55296192,0.6635
55488192,0.80425
55680192,0.7505
55872192,0.835
56064192,0.797
56256192,0.8125
56448192,0.8835
56640192,0.906
56832192,0.69425
57024192,0.8255
57216192,0.85875
57408192,0.885
57600192,0.81725
57792192,0.74625
57984192,0.73625
58176192,0.9075
58368192,0.77575
58560192,0.75675
58752192,0.90375
58944192,0.91925
59136192,0.92575
59328192,0.81475
59520192,0.7775
59712192,0.83675
59904192,0.74625
60096192,0.926
60288192,0.84475
60480192,0.73875
60672192,0.85725
60864192,0.81225
61056192,0.8515
61248192,0.77625
61440192,0.777
61632192,0.89125
61824192,0.79775
62016192,0.81075
62208192,0.8955
62400192,0.828
62592192,0.82375
62784192,0.7805
62976192,0.8395
63168192,0.76025
63360192,0.79325
63552192,0.88025
63744192,0.71975
63936192,0.8265
64128192,0.826
64320192,0.82875
64512192,0.849
64704192,0.76525
64896192,0.85475
65088192,0.80625
65280192,0.8295
65472192,0.83075
65664192,0.84175
65856192,0.819
66048192,0.8195
66240192,0.78775
66432192,0.8005
66624192,0.777
66816192,0.8235
67008192,0.77125
67200192,0.86525
67392192,0.8385
67584192,0.793
67776192,0.836
67968192,0.90075
68160192,0.87625
68352192,0.85575
68544192,0.8155
68736192,0.83725
68928192,0.8595
69120192,0.7745
69312192,0.83725
69504192,0.8265
69696192,0.797
69888192,0.79175
70080192,0.766
70272192,0.9065
70464192,0.80675
70656192,0.77875
70848192,0.82725
71040192,0.7815
71232192,0.80375
71424192,0.748
71616192,0.79075
71808192,0.8005
72000192,0.802
72192192,0.87525
72384192,0.856
72576192,0.83775
72768192,0.81525
72960192,0.8025
73152192,0.81675
73344192,0.796
73536192,0.77625
73728192,0.95275
73920192,0.7885
74112192,0.8355
74304192,0.77575
74496192,0.865
74688192,0.863
74880192,0.78525
75072192,0.82875
75264192,0.75725
75456192,0.8465
75648192,0.8185
75840192,0.85175
